Id,Tweet,Nom
1338827158953725952,RT @Shehzad_Ind: So AAP in Delhi notified the new farm laws and in its 2017 Punjab manifesto promised private push to agri markets and amen…,Ishwar Singh
1338827158211485696,"Central Banks yet again played “saviours of last resort”, making up for the shortfall in global politics, as seen i… https://t.co/R6d5dMtDdW",Simon Quijano-Evans
1338827153409007617,RT @CNNPolitics: JUST IN: The Electoral College affirms President-elect Joe Biden's election victory https://t.co/jsgAL2P9zx https://t.co/J…,Anita
1338827151202807810,"RT @ABC: ""In America, politicians don’t take power, people grant power to them,"" Joe Biden says in remarks after clinching victory in the E…",debra l. dooley
1338827150812647424,"RT @NYDailyNews: America voted. The Supreme Court ruled. Now, the Electoral College affirms Biden's win over conspiracy-mad president...

I…",BidenBeatTrump2020
1338827148598108162,RT @andrewfeinstein: Excited to be celebrating Jewish Radicalism tonight. Join the live stream on FB. I’ll be talking about the role of Jew…,Steve W
1338827148476506112,"RT @SteveSchmidtSES: He departs as a disgrace. He has shamed himself, debased himself and betrayed his oath of office. He has lied to the A…",kim
1338827148124155904,"RT @UKLabour: Too many families are facing hardship this Christmas because of our failing social security system. Let's change it.

https:/…",Poulton Labour
1338827147884994561,RT @PamParker7: @citizenwillis @KristenKfromGA @KLoeffler Well look at this @SenatorLoeffler. I thought you were working hard for #Georgia.…,🇨🇦Victorian #WearAMask
1338827147344048130,"RT @JohnJHarwood: Moody’s chief economist Mark Zandi:

“Trump's economic record ranks near or at the bottom compared with other presidents”…",Steel Slacks
1338827145368510468,"RT @mrmacaronii: We need to know why Omah Lay, Tems and Muyiwa Awomiyi are in custody in Uganda!! How do you invite Nigerian Artistes to yo…",CHI
1338827137231572994,"RT @ErdmuteD: Dehenna Davidson MP on BBC Politics Live, talking very confident garbage about the Will of the people and SOVEREIGNTY. Excuse…",David (Vote Dogs)
1338827134672859136,Man sentenced to death for raping a woman in front of her husband - Politics - Egypt - Ahram Online… https://t.co/2XaXi0k0yd,Steve
1338827134429753344,"RT @RoKhanna: Answer: yes.
https://t.co/9yfE2qiUey","Melissa, Dragon Slayer🌳🌎 👷‍♀️🐲🗡"
1338827134261989379,RT @SPIRALlZE: unironically love when people just lie. like not about stuff that matters like politics or serious issues but when people ar…,Stasia
1338827132705902592,@realDonaldTrump Kelly Loeffler is a Republican and she was in a photo smiling Chester Doles a white supremacist...… https://t.co/VOObdfFIDR,Waldo
1338827132328357888,RT @ASpinOfTheWheel: @dominicpnanni @jasonintrator Hanson is a well known historian who made his reputation studying the participation of c…,Worldwide Citizens
1338827131556651010,.@NYTimes quotes Yuval Levin “institutionalism and professionalism have made it through the storm and are functioni… https://t.co/g1wC1X7ozF,Michael S Roth
1338827131338428416,RT @Shehzad_Ind: So AAP in Delhi notified the new farm laws and in its 2017 Punjab manifesto promised private push to agri markets and amen…,Sneha Suryavanshi
1338827129849606144,RT @SpeechUnion: Unconscious Bias Training will be scrapped for all civil servants after a Government review found little evidence that it…,Iain Simpson
1338827129170112513,"RT @StrongerStabler: Education Sec  Gavin Williamson, acted unlawfully in removing safeguards for children in care at the start of the pand…",Harry Monk
1338827127723061248,@andrewsuleh Very true sir but politics and politicians are there to stay it depends on how you relate with them,Chebet🇰🇪
1338827125541965827,RT @BernardKerik: Amistad: 'Bombshell' Antrim Audit May Impact 5 Swing States With Dominion https://t.co/AmK62QmwGm,Kanawha County GOP
